Action,Role-Playing (RPG),Simulation,Adventure,Racing / Driving,Sports,Puzzle,Compilation,Strategy/Tactics,DLC / Add-on,Special Edition,Educational,platform,country
17.0,,,,2.0,6.0,4.0,,4.0,,,2.0,1292 Advanced Programmable Video System,Germany
,,,,,,,,,,,,1292 Advanced Programmable Video System,Japan
7.0,,2.0,1.0,1.0,,,,2.0,1.0,,,3DO,Germany
26.0,7.0,5.0,11.0,3.0,3.0,4.0,1.0,10.0,1.0,,5.0,3DO,Japan
540.0,49.0,140.0,98.0,55.0,89.0,82.0,92.0,163.0,18.0,2.0,9.0,Amiga,Germany
,,,,,,,,,,,,Amiga,Japan
63.0,1.0,10.0,5.0,5.0,11.0,6.0,9.0,9.0,,,,Amiga CD32,Germany
,,,,,,,,,,,,Amiga CD32,Japan
168.0,5.0,9.0,15.0,30.0,24.0,6.0,14.0,13.0,,,3.0,Amstrad CPC,Germany
,,,,,,,,,,,,Amstrad CPC,Japan
6.0,4.0,2.0,,2.0,2.0,1.0,,2.0,,,1.0,Android,Germany
19.0,29.0,13.0,17.0,1.0,1.0,7.0,25.0,16.0,,,,Android,Japan
,,,,,,,,,,,,Apple II,Germany
5.0,,,,,,,,,,,,Apple II,Japan
30.0,,2.0,,8.0,6.0,2.0,2.0,3.0,,,,Arcade,Germany
1248.0,4.0,21.0,,107.0,123.0,88.0,3.0,37.0,,,1.0,Arcade,Japan
,,,,,,,,,,,,Arcadia 2001,Germany
4.0,,,,,,,,,,,,Arcadia 2001,Japan
26.0,,,,2.0,5.0,,,,,,,Atari 2600,Germany
,,,,,,,,,,,,Atari 2600,Japan
52.0,1.0,6.0,4.0,4.0,2.0,7.0,3.0,3.0,,,7.0,Atari 8-bit,Germany
,,,,,,,,,,,,Atari 8-bit,Japan
310.0,23.0,73.0,46.0,31.0,54.0,51.0,33.0,91.0,1.0,,3.0,Atari ST,Germany
,,,,,,,,,,,,Atari ST,Japan
2.0,,,,,,,1.0,,,,,BBC Micro,Germany
,,,,,,,,,,,,BBC Micro,Japan
,,,,,,,,,,,,BREW,Germany
12.0,11.0,,,3.0,2.0,2.0,,5.0,11.0,,1.0,BREW,Japan
,,,,,,,,,,,,Blu-ray Disc Player,Germany
,,,1.0,,,,,,,,,Blu-ray Disc Player,Japan
5.0,4.0,1.0,,,,1.0,1.0,7.0,,,,Browser,Germany
,,1.0,1.0,,,,,2.0,,,,Browser,Japan
33.0,,2.0,9.0,2.0,6.0,7.0,1.0,6.0,,,5.0,CD-i,Germany
,,,,,,1.0,,,,,,CD-i,Japan
7.0,,2.0,3.0,,1.0,3.0,2.0,1.0,,,,CDTV,Germany
,,,,,,,,,,,,CDTV,Japan
,,,,,,,,,,,,Casio Loopy,Germany
,,1.0,1.0,,,,,,,,,Casio Loopy,Japan
,,,,,,,,,,,,Casio PV-1000,Germany
9.0,,1.0,,,,1.0,,,,,,Casio PV-1000,Japan
27.0,,,,3.0,8.0,8.0,13.0,16.0,,,6.0,Channel F,Germany
1.0,,,,,1.0,,1.0,,,,,Channel F,Japan
6.0,,,,,,,,1.0,,,1.0,ColecoVision,Germany
,,,,,,,,,,,,ColecoVision,Japan
53.0,,2.0,4.0,2.0,3.0,4.0,18.0,3.0,,,1.0,"Commodore 16, Plus/4",Germany
,,,,,,,,,,,,"Commodore 16, Plus/4",Japan
510.0,17.0,53.0,42.0,45.0,91.0,44.0,56.0,69.0,,1.0,4.0,Commodore 64,Germany
2.0,,,,,,,,,,,,Commodore 64,Japan
,,,,,,,,2.0,,,,Commodore PET/CBM,Germany
37.0,1.0,11.0,1.0,4.0,5.0,18.0,,24.0,,,10.0,Commodore PET/CBM,Japan
654.0,156.0,447.0,372.0,87.0,175.0,94.0,326.0,442.0,123.0,17.0,22.0,DOS,Germany
11.0,3.0,3.0,2.0,,,4.0,3.0,2.0,1.0,,,DOS,Japan
,,,1.0,,1.0,2.0,,1.0,,1.0,1.0,DVD Player,Germany
,,,4.0,,,,,,,,,DVD Player,Japan
132.0,,,,6.0,131.0,,4.0,,,,,Dedicated console,Germany
86.0,,,,4.0,77.0,,5.0,1.0,,,,Dedicated console,Japan
3.0,,,,,,,,,,,,Dedicated handheld,Germany
37.0,,6.0,,,3.0,,1.0,1.0,,,1.0,Dedicated handheld,Japan
7.0,,,,1.0,,,,2.0,,,,DoJa,Germany
47.0,17.0,13.0,,4.0,7.0,4.0,,5.0,11.0,,,DoJa,Japan
50.0,7.0,11.0,4.0,25.0,11.0,6.0,1.0,3.0,,,,Dreamcast,Germany
135.0,31.0,31.0,70.0,24.0,25.0,14.0,4.0,17.0,2.0,9.0,,Dreamcast,Japan
1.0,,,,,,,1.0,,,,,Electron,Germany
,,,,,,,,,,,,Electron,Japan
,,,,,,,,,,,,Epoch Cassette Vision,Germany
1.0,,,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,,,Epoch Game Pocket Computer,Germany
1.0,,,,,,1.0,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,,,Epoch Super Cassette Vision,Germany
6.0,,,,1.0,,,,,,,,Epoch Super Cassette Vision,Japan
28.0,,1.0,,4.0,5.0,5.0,,4.0,,,,ExEn,Germany
,,,,,,,,,,,,ExEn,Japan
,,,,,,,,,,,,FM Towns,Germany
76.0,98.0,48.0,186.0,5.0,14.0,23.0,24.0,96.0,5.0,,13.0,FM Towns,Japan
,,,,,,,,,,,,FM-7,Germany
89.0,39.0,19.0,72.0,4.0,4.0,14.0,,29.0,4.0,,,FM-7,Japan
1.0,1.0,,,,,1.0,,,,,,Fire OS,Germany
,,,,,,,,,,,,Fire OS,Japan
13.0,,,,2.0,10.0,,,,,,,GIMINI,Germany
7.0,,,,2.0,5.0,,,,,,,GIMINI,Japan
66.0,2.0,1.0,,4.0,13.0,5.0,1.0,5.0,,,,Game Boy,Germany
205.0,34.0,7.0,2.0,12.0,41.0,54.0,12.0,21.0,,,,Game Boy,Japan
104.0,22.0,13.0,,16.0,13.0,6.0,21.0,8.0,,,,Game Boy Advance,Germany
198.0,95.0,16.0,15.0,17.0,24.0,27.0,24.0,38.0,,2.0,5.0,Game Boy Advance,Japan
68.0,8.0,4.0,4.0,11.0,25.0,6.0,1.0,2.0,,,1.0,Game Boy Color,Germany
49.0,38.0,6.0,8.0,5.0,9.0,15.0,5.0,10.0,2.0,,2.0,Game Boy Color,Japan
76.0,1.0,2.0,,5.0,8.0,7.0,,1.0,,,,Game Gear,Germany
96.0,16.0,3.0,1.0,9.0,21.0,21.0,,11.0,,,,Game Gear,Japan
144.0,17.0,13.0,2.0,31.0,45.0,5.0,5.0,12.0,,1.0,,GameCube,Germany
124.0,21.0,16.0,4.0,13.0,26.0,15.0,5.0,13.0,1.0,1.0,,GameCube,Japan
125.0,10.0,7.0,,9.0,26.0,3.0,5.0,4.0,,,,Genesis,Germany
271.0,30.0,26.0,14.0,21.0,71.0,23.0,2.0,57.0,,1.0,1.0,Genesis,Japan
5.0,,,,,4.0,,,,,,,Ideal-Computer,Germany
,,,,,,,,,,,,Ideal-Computer,Japan
2.0,,,,,,,,,,,,Intellivision,Germany
,,,,,,,,,,,,Intellivision,Japan
5.0,,,,,4.0,,,,,,,Interton Video 2000,Germany
,,,,,,,,,,,,Interton Video 2000,Japan
35.0,5.0,3.0,,5.0,12.0,8.0,,10.0,,,,J2ME,Germany
7.0,14.0,2.0,,2.0,1.0,2.0,,3.0,11.0,,,J2ME,Japan
4.0,,,,,1.0,1.0,,,,,,Jaguar,Germany
,,,,,,,,,,,,Jaguar,Japan
,,,,,,,,,,,,LaserActive,Germany
10.0,,6.0,6.0,2.0,,4.0,,,,,10.0,LaserActive,Japan
15.0,5.0,12.0,12.0,2.0,1.0,4.0,9.0,19.0,1.0,10.0,2.0,Linux,Germany
,,,,,,,,,,,,Linux,Japan
8.0,,2.0,,,3.0,3.0,,1.0,,,,Lynx,Germany
,,,,,,,,,,,,Lynx,Japan
118.0,,4.0,1.0,11.0,21.0,5.0,,6.0,1.0,,1.0,MSX,Germany
287.0,92.0,35.0,94.0,12.0,40.0,31.0,18.0,53.0,3.0,,3.0,MSX,Japan
101.0,28.0,62.0,104.0,15.0,19.0,30.0,51.0,84.0,53.0,24.0,33.0,Macintosh,Germany
11.0,7.0,15.0,27.0,1.0,1.0,7.0,2.0,10.0,,,11.0,Macintosh,Japan
1.0,,,,,,,,,,,,Microvision,Germany
,,,,,,,,,,,,Microvision,Japan
9.0,1.0,2.0,,5.0,7.0,3.0,,3.0,,,,N-Gage,Germany
1.0,1.0,,,,,,,,,,,N-Gage,Japan
31.0,,,,1.0,5.0,1.0,,,,,,NES,Germany
566.0,109.0,37.0,45.0,32.0,101.0,53.0,10.0,77.0,5.0,,15.0,NES,Japan
,,,,,,,,,,,,Neo Geo,Germany
80.0,,2.0,,3.0,18.0,4.0,,1.0,,,,Neo Geo,Japan
,,,,,,,,,,,,Neo Geo CD,Germany
34.0,2.0,,,1.0,13.0,2.0,,3.0,,,,Neo Geo CD,Japan
,,,,,,,,,,,,Neo Geo Pocket,Germany
2.0,,2.0,,,3.0,1.0,,1.0,,,,Neo Geo Pocket,Japan
6.0,,,,,,1.0,,,,,,Neo Geo Pocket Color,Germany
12.0,7.0,2.0,2.0,,5.0,5.0,2.0,7.0,,,,Neo Geo Pocket Color,Japan
5.0,1.0,,1.0,1.0,2.0,3.0,1.0,,3.0,,,New Nintendo 3DS,Germany
16.0,5.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,,,,New Nintendo 3DS,Japan
57.0,21.0,4.0,4.0,5.0,7.0,20.0,1.0,7.0,5.0,13.0,2.0,Nintendo 3DS,Germany
318.0,115.0,43.0,25.0,21.0,26.0,74.0,11.0,39.0,8.0,12.0,6.0,Nintendo 3DS,Japan
72.0,5.0,7.0,1.0,34.0,27.0,4.0,,5.0,,1.0,,Nintendo 64,Germany
70.0,9.0,15.0,1.0,24.0,18.0,5.0,,11.0,3.0,,5.0,Nintendo 64,Japan
78.0,30.0,36.0,22.0,15.0,15.0,38.0,2.0,35.0,,,24.0,Nintendo DS,Germany
159.0,119.0,50.0,55.0,13.0,20.0,47.0,14.0,38.0,1.0,5.0,17.0,Nintendo DS,Japan
3.0,2.0,,,,,1.0,,3.0,,,,Nintendo DSi,Germany
32.0,,1.0,1.0,3.0,2.0,14.0,,6.0,,,3.0,Nintendo DSi,Japan
181.0,24.0,35.0,47.0,18.0,21.0,47.0,16.0,39.0,5.0,13.0,11.0,Nintendo Switch,Germany
328.0,78.0,37.0,71.0,21.0,25.0,65.0,51.0,33.0,176.0,10.0,7.0,Nintendo Switch,Japan
,,,,,1.0,,,,,,,Odyssey,Germany
,,,,,,,,,,,,Odyssey,Japan
7.0,,,,,5.0,3.0,5.0,3.0,,,,Odyssey 2,Germany
,,,,,,,,,,,,Odyssey 2,Japan
7.0,,,,,,,,3.0,,,,PC Booter,Germany
,,,,,,,,,,,,PC Booter,Japan
,,,,,,,,,,,,PC-6001,Germany
36.0,2.0,4.0,4.0,1.0,1.0,4.0,,5.0,,,,PC-6001,Japan
,,,,,,,,,,,,PC-8000,Germany
15.0,1.0,,2.0,,1.0,4.0,,1.0,,,,PC-8000,Japan
,,,,,,,,,,,,PC-88,Germany
174.0,113.0,32.0,138.0,8.0,14.0,28.0,,62.0,4.0,,1.0,PC-88,Japan
,,,,,,,,,,,,PC-98,Germany
193.0,349.0,152.0,472.0,9.0,28.0,55.0,19.0,263.0,17.0,,11.0,PC-98,Japan
,,,,,,,,,,,,PC-FX,Germany
8.0,11.0,11.0,20.0,,2.0,1.0,6.0,20.0,,,2.0,PC-FX,Japan
19.0,5.0,3.0,6.0,1.0,2.0,,5.0,4.0,4.0,5.0,,PS Vita,Germany
193.0,153.0,36.0,102.0,5.0,11.0,15.0,55.0,51.0,200.0,44.0,2.0,PS Vita,Japan
61.0,15.0,4.0,3.0,21.0,21.0,6.0,10.0,10.0,1.0,,1.0,PSP,Germany
270.0,207.0,54.0,168.0,29.0,21.0,36.0,51.0,89.0,7.0,45.0,3.0,PSP,Japan
,,,,,,,,,,,,Palm OS,Germany
2.0,,1.0,,,,1.0,,,,,,Palm OS,Japan
,,,,,,,,,,,,Pippin,Germany
2.0,,2.0,5.0,,,1.0,1.0,1.0,,,1.0,Pippin,Japan
228.0,27.0,25.0,12.0,63.0,74.0,12.0,21.0,33.0,1.0,,2.0,PlayStation,Germany
842.0,300.0,205.0,203.0,154.0,195.0,111.0,92.0,213.0,10.0,19.0,7.0,PlayStation,Japan
465.0,56.0,62.0,12.0,158.0,168.0,5.0,13.0,28.0,1.0,3.0,2.0,PlayStation 2,Germany
745.0,221.0,141.0,243.0,96.0,133.0,36.0,84.0,115.0,6.0,85.0,5.0,PlayStation 2,Japan
276.0,44.0,32.0,12.0,61.0,52.0,5.0,41.0,37.0,42.0,28.0,1.0,PlayStation 3,Germany
306.0,140.0,68.0,57.0,21.0,19.0,16.0,45.0,52.0,51.0,28.0,3.0,PlayStation 3,Japan
115.0,27.0,15.0,23.0,15.0,11.0,9.0,40.0,8.0,36.0,41.0,2.0,PlayStation 4,Germany
272.0,101.0,21.0,60.0,13.0,34.0,18.0,70.0,18.0,293.0,28.0,,PlayStation 4,Japan
,,,,,,,,,,,,Playdia,Germany
,,,,,,,,1.0,,,,Playdia,Japan
,,,,,,,,,,,,Pokémon Mini,Germany
5.0,,1.0,,1.0,2.0,3.0,,1.0,,,,Pokémon Mini,Japan
12.0,,1.0,,2.0,2.0,1.0,,,,,,SEGA 32X,Germany
13.0,,2.0,,1.0,4.0,,,1.0,,,,SEGA 32X,Japan
37.0,2.0,4.0,5.0,3.0,7.0,1.0,2.0,2.0,,,,SEGA CD,Germany
46.0,25.0,10.0,15.0,5.0,8.0,3.0,7.0,11.0,,,1.0,SEGA CD,Japan
167.0,2.0,7.0,,20.0,39.0,6.0,4.0,5.0,,,,SEGA Master System,Germany
54.0,3.0,1.0,2.0,8.0,13.0,1.0,,1.0,,,,SEGA Master System,Japan
,,,,,,,,,,,,SEGA Pico,Germany
,,,,,,,,,,,5.0,SEGA Pico,Japan
25.0,2.0,3.0,7.0,7.0,1.0,3.0,2.0,2.0,,,,SEGA Saturn,Germany
269.0,80.0,44.0,106.0,35.0,47.0,30.0,42.0,74.0,1.0,16.0,4.0,SEGA Saturn,Japan
1.0,,,,,,,,,,,,SG-1000,Germany
55.0,1.0,,1.0,6.0,15.0,6.0,,2.0,,,,SG-1000,Japan
55.0,4.0,3.0,,11.0,9.0,6.0,3.0,6.0,,,,SNES,Germany
421.0,160.0,48.0,23.0,43.0,120.0,68.0,14.0,78.0,,1.0,9.0,SNES,Japan
,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany
13.0,2.0,1.0,1.0,,,1.0,,2.0,,,,Sharp MZ-80B/2000/2500,Japan
1.0,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany
17.0,,1.0,1.0,1.0,,1.0,,1.0,,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,,,,,,,,Sharp X1,Germany
113.0,47.0,10.0,29.0,7.0,10.0,13.0,,24.0,4.0,,1.0,Sharp X1,Japan
,,,,,,,,,,,,Sharp X68000,Germany
122.0,70.0,38.0,129.0,7.0,15.0,32.0,6.0,70.0,10.0,,2.0,Sharp X68000,Japan
,,,,,,,,,,,,Sharp Zaurus,Germany
7.0,,,,,,2.0,,,,,,Sharp Zaurus,Japan
,1.0,,,,,,,,,,,Sinclair QL,Germany
,,,,,,,,,,,,Sinclair QL,Japan
,,,,,,,,,,,,Sord M5,Germany
15.0,,1.0,,,1.0,1.0,,,,,1.0,Sord M5,Japan
1.0,,,,,,,,,,,,Spectravideo,Germany
,,,,,,,,,,,,Spectravideo,Japan
,,,,,,,,,,,,SuperGrafx,Germany
7.0,,,,,,,,,,,,SuperGrafx,Japan
1.0,,,,,,,,1.0,,,,Symbian,Germany
,,,,,,,,,,,,Symbian,Japan
5.0,,,,1.0,3.0,,,,,,,Tele-Spiel ES-2201,Germany
,,,,,,,,,,,,Tele-Spiel ES-2201,Japan
,,,,,,,,,,,,Tomy Tutor,Germany
11.0,,,,,,,,,,,,Tomy Tutor,Japan
,,,,,,,,,,,,TurboGrafx CD,Germany
139.0,83.0,37.0,56.0,7.0,20.0,13.0,12.0,77.0,1.0,,10.0,TurboGrafx CD,Japan
,,,,,,,,,,,,TurboGrafx-16,Germany
147.0,17.0,4.0,2.0,16.0,31.0,14.0,,11.0,,,,TurboGrafx-16,Japan
1.0,,,,,,,,,,,3.0,V.Smile,Germany
,,,,,,,,,,,,V.Smile,Japan
4.0,,,,1.0,,,,,,,,VIC-20,Germany
3.0,,,,1.0,,,,,,,,VIC-20,Japan
15.0,,1.0,,,2.0,,,,,,,Vectrex,Germany
,,,,,,,,,,,,Vectrex,Japan
,,,,,,,,,,,,Virtual Boy,Germany
11.0,,1.0,,,7.0,3.0,,1.0,,,,Virtual Boy,Japan
1.0,,,,,,,,,,,,Wang 2200,Germany
,,,,,,,,,,,,Wang 2200,Japan
222.0,14.0,31.0,20.0,29.0,60.0,26.0,6.0,15.0,2.0,2.0,11.0,Wii,Germany
502.0,94.0,27.0,33.0,27.0,66.0,53.0,9.0,55.0,,5.0,4.0,Wii,Japan
79.0,10.0,3.0,8.0,5.0,10.0,9.0,4.0,7.0,4.0,19.0,1.0,Wii U,Germany
240.0,85.0,7.0,28.0,11.0,27.0,25.0,7.0,36.0,9.0,3.0,,Wii U,Japan
2052.0,526.0,1142.0,825.0,580.0,518.0,350.0,1075.0,1568.0,620.0,273.0,115.0,Windows,Germany
357.0,156.0,113.0,180.0,25.0,18.0,22.0,50.0,139.0,26.0,15.0,17.0,Windows,Japan
32.0,4.0,45.0,67.0,4.0,5.0,13.0,54.0,62.0,21.0,1.0,17.0,Windows 3.x,Germany
7.0,7.0,2.0,16.0,,,5.0,,5.0,,,6.0,Windows 3.x,Japan
,,,,,,,,,,,,Windows Mobile,Germany
,,,,,1.0,,,,,,,Windows Mobile,Japan
,,1.0,,1.0,,1.0,,2.0,,,,Windows Phone,Germany
,,,,,,1.0,,,,,,Windows Phone,Japan
,,,,,,,,,,,,WonderSwan,Germany
16.0,8.0,10.0,6.0,3.0,10.0,14.0,,8.0,,,3.0,WonderSwan,Japan
,,,,,,,,,,,,WonderSwan Color,Germany
10.0,21.0,1.0,4.0,,2.0,4.0,,5.0,,,,WonderSwan Color,Japan
,,,,,,,,,,,,XaviXPORT,Germany
,,,,,3.0,,,,,,2.0,XaviXPORT,Japan
187.0,16.0,17.0,4.0,52.0,71.0,,9.0,8.0,,2.0,1.0,Xbox,Germany
144.0,12.0,14.0,5.0,24.0,26.0,4.0,8.0,13.0,1.0,1.0,,Xbox,Japan
342.0,34.0,21.0,8.0,63.0,53.0,24.0,36.0,25.0,17.0,36.0,2.0,Xbox 360,Germany
248.0,28.0,13.0,15.0,25.0,12.0,24.0,15.0,18.0,33.0,10.0,1.0,Xbox 360,Japan
23.0,4.0,2.0,2.0,3.0,4.0,1.0,8.0,1.0,12.0,14.0,,Xbox One,Germany
19.0,4.0,2.0,10.0,1.0,1.0,1.0,10.0,1.0,10.0,4.0,,Xbox One,Japan
216.0,5.0,16.0,10.0,19.0,34.0,12.0,17.0,12.0,,,,ZX Spectrum,Germany
,,,,,,,,,,,,ZX Spectrum,Japan
4.0,2.0,,,,1.0,1.0,,2.0,,,1.0,iPad,Germany
16.0,29.0,13.0,21.0,3.0,2.0,5.0,,9.0,,,1.0,iPad,Japan
5.0,2.0,2.0,,,1.0,1.0,,3.0,,,1.0,iPhone,Germany
21.0,36.0,21.0,25.0,3.0,2.0,6.0,,10.0,,,1.0,iPhone,Japan
