Tank,Street Racing,Automobile,Track Racing,Mecha / Giant Robot,Flight / Aviation,Naval / Watercraft,Helicopter,Train,Space Flight,Motorcycle,Off-roading,Hovercraft,Truck,Bike / Bicycling,Transport,Agricultural / Industrial,Bus,platform,country,Self-propelled Artillery
2.0,,2.0,,,2.0,3.0,,,,,,,,,,,,1292 Advanced Programmable Video System,Germany,
,,,,,,,,,,,,,,,,,,1292 Advanced Programmable Video System,Japan,
,1.0,,,,,,,,2.0,1.0,,,,,,,,3DO,Germany,
1.0,1.0,3.0,2.0,,1.0,,,,2.0,,,,,,,,,3DO,Japan,
7.0,4.0,27.0,22.0,3.0,37.0,20.0,13.0,2.0,17.0,8.0,4.0,,,1.0,,,,Amiga,Germany,
,,,,,,,,,,,,,,,,,,Amiga,Japan,
1.0,1.0,3.0,3.0,,1.0,2.0,2.0,,2.0,1.0,1.0,,,,,,,Amiga CD32,Germany,
,,,,,,,,,,,,,,,,,,Amiga CD32,Japan,
2.0,5.0,14.0,6.0,2.0,8.0,1.0,3.0,,3.0,4.0,4.0,,,4.0,,,,Amstrad CPC,Germany,
,,,,,,,,,,,,,,,,,,Amstrad CPC,Japan,
,,,,,,,,,,1.0,,,,,,,,Android,Germany,
,1.0,1.0,,1.0,,,,,,,,,,,,,,Android,Japan,
,,,,,,,,,,,,,,,,,,Apple II,Germany,
,,,,,1.0,,,,,,,,,,,,,Apple II,Japan,
1.0,,7.0,,,1.0,3.0,1.0,,1.0,2.0,,,,,,,,Arcade,Germany,
16.0,8.0,62.0,34.0,25.0,58.0,14.0,21.0,3.0,30.0,13.0,4.0,2.0,2.0,1.0,1.0,,,Arcade,Japan,
,,,,,,,,,,,,,,,,,,Arcadia 2001,Germany,
1.0,,,,,,,,,,,,,,,,,,Arcadia 2001,Japan,
1.0,,1.0,,,1.0,2.0,1.0,,2.0,1.0,,,,,,,,Atari 2600,Germany,
,,,,,,,,,,,,,,,,,,Atari 2600,Japan,
,,1.0,1.0,,2.0,1.0,4.0,,1.0,1.0,,,,,,,,Atari 8-bit,Germany,
,,,,,,,,,,,,,,,,,,Atari 8-bit,Japan,
2.0,4.0,18.0,13.0,1.0,19.0,10.0,5.0,2.0,13.0,3.0,3.0,,,1.0,,,,Atari ST,Germany,
,,,,,,,,,,,,,,,,,,Atari ST,Japan,
,,,,,,,,,,,,,,,,,,BBC Micro,Germany,
,,,,,,,,,,,,,,,,,,BBC Micro,Japan,
,,,,,,,,,,,,,,,,,,BREW,Germany,
,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,BREW,Japan,
,,,,,,,,,,,,,,,,,,Blu-ray Disc Player,Germany,
,,,,,,,,,,,,,,,,,,Blu-ray Disc Player,Japan,
,,,,1.0,1.0,,1.0,,,,,,,,,,,Browser,Germany,
,,,,,,,,,,,,,,,,,,Browser,Japan,
,,,,,2.0,1.0,,,,,,,,,,,,CD-i,Germany,
,,,,,,,,,,,,,,,,,,CD-i,Japan,
,,,,,1.0,,,,1.0,,,,,,,,,CDTV,Germany,
,,,,,,,,,,,,,,,,,,CDTV,Japan,
,,,,,,,,,,,,,,,,,,Casio Loopy,Germany,
,,,,,,,,,,,,,,,,,,Casio Loopy,Japan,
,,,,,,,,,,,,,,,,,,Casio PV-1000,Germany,
,,,,,,,1.0,,,,,,,,,,,Casio PV-1000,Japan,
3.0,,3.0,,,3.0,3.0,,,4.0,,,,,,,,,Channel F,Germany,
,,,,,,,,,,,,,,,,,,Channel F,Japan,
,,,,,,,,,1.0,,,,,,,,,ColecoVision,Germany,
,,,,,,,,,,,,,,,,,,ColecoVision,Japan,
,,2.0,2.0,,,1.0,2.0,,,,,,,1.0,,,,"Commodore 16, Plus/4",Germany,
,,,,,,,,,,,,,,,,,,"Commodore 16, Plus/4",Japan,
6.0,9.0,28.0,13.0,2.0,15.0,8.0,14.0,1.0,9.0,4.0,5.0,,,8.0,,,,Commodore 64,Germany,
,,,,,,,,,,,,,,,,,,Commodore 64,Japan,
,,,,,,,,,,,,,,,,,,Commodore PET/CBM,Germany,
1.0,,1.0,,,,2.0,1.0,1.0,4.0,,,,,,,,,Commodore PET/CBM,Japan,
30.0,7.0,54.0,41.0,10.0,116.0,50.0,28.0,16.0,71.0,4.0,6.0,7.0,4.0,3.0,4.0,1.0,4.0,DOS,Germany,
,,,,2.0,1.0,,,,,,,,,,,,,DOS,Japan,
,,,,,,,,,1.0,,,,,,,,,DVD Player,Germany,
,,,,,,,,,,,,,,,,,,DVD Player,Japan,
3.0,,3.0,,,1.0,,,,1.0,3.0,,,,,,,,Dedicated console,Germany,
1.0,,2.0,,,1.0,,,,2.0,2.0,,,,1.0,,,,Dedicated console,Japan,
,,,,,,,,,,,,,,,,,,Dedicated handheld,Germany,
,,,,,,4.0,1.0,,,,,,2.0,,,,,Dedicated handheld,Japan,
,1.0,1.0,,,,,,,,,,,,,,,,DoJa,Germany,
,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,DoJa,Japan,
1.0,4.0,14.0,9.0,1.0,3.0,2.0,,,,,3.0,,,,,,,Dreamcast,Germany,
2.0,4.0,14.0,10.0,12.0,9.0,,4.0,1.0,,2.0,2.0,,2.0,1.0,,,,Dreamcast,Japan,
,,,,,,,,,,,,,,,,,,Electron,Germany,
,,,,,,,,,,,,,,,,,,Electron,Japan,
,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Germany,
,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Japan,
,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Germany,
,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Japan,
,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Germany,
,,1.0,1.0,,1.0,,,,,,,,,,,,,Epoch Super Cassette Vision,Japan,
,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,ExEn,Germany,
,,,,,,,,,,,,,,,,,,ExEn,Japan,
,,,,,,,,,,,,,,,,,,FM Towns,Germany,
1.0,1.0,3.0,,8.0,11.0,4.0,2.0,3.0,6.0,,1.0,,,,,,,FM Towns,Japan,
,,,,,,,,,,,,,,,,,,FM-7,Germany,
1.0,,1.0,1.0,7.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,FM-7,Japan,
,,,,,,,,,,,,,,,,,,Fire OS,Germany,
,,,,,,,,,,,,,,,,,,Fire OS,Japan,
1.0,,1.0,,,,,,,,1.0,,,,,,,,GIMINI,Germany,
,,1.0,,,,,,,,1.0,,,,,,,,GIMINI,Japan,
,,1.0,1.0,,,,1.0,,4.0,,,,,,,,,Game Boy,Germany,
5.0,,6.0,7.0,4.0,,4.0,1.0,,3.0,2.0,,,,,,,,Game Boy,Japan,
1.0,1.0,4.0,3.0,,2.0,1.0,2.0,,,1.0,2.0,,,1.0,,,,Game Boy Advance,Germany,
,,7.0,9.0,4.0,2.0,,2.0,,,2.0,2.0,3.0,,,,,,Game Boy Advance,Japan,
2.0,1.0,7.0,3.0,,,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,,Game Boy Color,Germany,
1.0,,3.0,2.0,1.0,3.0,,,2.0,,,,,,,,,,Game Boy Color,Japan,
,1.0,5.0,4.0,,3.0,,,,1.0,,1.0,,,,,,,Game Gear,Germany,
1.0,2.0,8.0,4.0,1.0,1.0,,,,1.0,1.0,,,,,,,,Game Gear,Japan,
2.0,7.0,16.0,9.0,1.0,3.0,,1.0,,4.0,3.0,3.0,2.0,1.0,,,,,GameCube,Germany,
2.0,2.0,8.0,6.0,3.0,3.0,,1.0,,2.0,1.0,1.0,1.0,,,,,,GameCube,Japan,
1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,,1.0,2.0,,,,1.0,,,,Genesis,Germany,
2.0,3.0,15.0,10.0,9.0,12.0,3.0,8.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,,,,Genesis,Japan,
1.0,,,,,,,,,,,,,,,,,,Ideal-Computer,Germany,
,,,,,,,,,,,,,,,,,,Ideal-Computer,Japan,
,,,,,,,,,,,,,,,,,,Intellivision,Germany,
,,,,,,,,,,,,,,,,,,Intellivision,Japan,
,,,,,,,,,,,,,,,,,,Interton Video 2000,Germany,
,,,,,,,,,,,,,,,,,,Interton Video 2000,Japan,
,1.0,1.0,1.0,,1.0,,,,,1.0,,,,3.0,,,,J2ME,Germany,
,,3.0,,,,,,,,,,,,,,,,J2ME,Japan,
,,,,,,,,,,,,,,,,,,Jaguar,Germany,
,,,,,,,,,,,,,,,,,,Jaguar,Japan,
,,,,,,,,,,,,,,,,,,LaserActive,Germany,
,,,1.0,2.0,,,1.0,,,,,,,,,,,LaserActive,Japan,
1.0,,,,1.0,5.0,2.0,3.0,1.0,3.0,,,,,,,,,Linux,Germany,
,,,,,,,,,,,,,,,,,,Linux,Japan,
,,,,,,,1.0,,,,,,,,,,,Lynx,Germany,
,,,,,,,,,,,,,,,,,,Lynx,Japan,
2.0,1.0,7.0,4.0,1.0,1.0,,2.0,,1.0,,,,,,,,,MSX,Germany,
4.0,1.0,6.0,4.0,17.0,13.0,5.0,4.0,1.0,12.0,1.0,,,,,,,,MSX,Japan,
5.0,,10.0,7.0,4.0,13.0,5.0,5.0,2.0,7.0,1.0,6.0,,,,,1.0,1.0,Macintosh,Germany,
,,,,,,,,,1.0,1.0,,,,,,,,Macintosh,Japan,
,,,,,,,,,,,,,,,,,,Microvision,Germany,
,,,,,,,,,,,,,,,,,,Microvision,Japan,
,2.0,4.0,2.0,,,1.0,,,,,1.0,,,,,,,N-Gage,Germany,
,,,,,,,,,,,,,,,,,,N-Gage,Japan,
,,,,,,1.0,,,,,,,,,,,,NES,Germany,
6.0,2.0,16.0,10.0,17.0,12.0,3.0,10.0,2.0,11.0,7.0,,,,1.0,,,,NES,Japan,
,,,,,,,,,,,,,,,,,,Neo Geo,Germany,
4.0,,2.0,,,2.0,,,,2.0,1.0,1.0,,,,,,,Neo Geo,Japan,
,,,,,,,,,,,,,,,,,,Neo Geo CD,Germany,
1.0,,,,,,,,,,,,,,,,,,Neo Geo CD,Japan,
,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Germany,
,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Japan,
1.0,,,,,1.0,,,,,,,,,,,,,Neo Geo Pocket Color,Germany,
1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,Neo Geo Pocket Color,Japan,
,,1.0,1.0,,,,,,,,,,,,,,,New Nintendo 3DS,Germany,
,,1.0,1.0,,,,,,,,,,,,,,,New Nintendo 3DS,Japan,
,1.0,2.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,Nintendo 3DS,Germany,
8.0,5.0,10.0,4.0,8.0,10.0,2.0,2.0,11.0,5.0,2.0,,,,,,,,Nintendo 3DS,Japan,
1.0,2.0,17.0,14.0,,7.0,,2.0,,4.0,2.0,6.0,3.0,,,,,,Nintendo 64,Germany,
,1.0,10.0,9.0,5.0,5.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,,,,,,Nintendo 64,Japan,
,4.0,6.0,2.0,2.0,3.0,1.0,,,,,,,,1.0,,,,Nintendo DS,Germany,
,2.0,4.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,Nintendo DS,Japan,
,,,,,,,,,,,,,,,,,,Nintendo DSi,Germany,
1.0,1.0,2.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,Nintendo DSi,Japan,
2.0,1.0,10.0,8.0,4.0,10.0,5.0,1.0,1.0,9.0,3.0,1.0,,,1.0,,1.0,,Nintendo Switch,Germany,1.0
4.0,2.0,12.0,8.0,7.0,13.0,6.0,2.0,2.0,6.0,3.0,2.0,1.0,,1.0,1.0,,,Nintendo Switch,Japan,
,,,,,,,,,,,,,,,,,,Odyssey,Germany,
,,,,,,,,,,,,,,,,,,Odyssey,Japan,
,,,,,,1.0,,,2.0,,,,,,,,,Odyssey 2,Germany,
,,,,,,,,,,,,,,,,,,Odyssey 2,Japan,
,,,,,,2.0,,,,,,,,,,,,PC Booter,Germany,
,,,,,,,,,,,,,,,,,,PC Booter,Japan,
,,,,,,,,,,,,,,,,,,PC-6001,Germany,
1.0,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,PC-6001,Japan,
,,,,,,,,,,,,,,,,,,PC-8000,Germany,
,,,,1.0,,,,,,,,,,,,,,PC-8000,Japan,
,,,,,,,,,,,,,,,,,,PC-88,Germany,
2.0,,2.0,1.0,13.0,8.0,4.0,3.0,1.0,8.0,2.0,,,,,,,,PC-88,Japan,
,,,,,,,,,,,,,,,,,,PC-98,Germany,
8.0,2.0,6.0,2.0,28.0,28.0,16.0,2.0,6.0,19.0,,1.0,,1.0,,,,,PC-98,Japan,
,,,,,,,,,,,,,,,,,,PC-FX,Germany,
,,,,4.0,1.0,1.0,,,,,,,,,,,,PC-FX,Japan,
,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,PS Vita,Germany,
2.0,,2.0,3.0,27.0,9.0,2.0,2.0,1.0,1.0,,,1.0,,,,,,PS Vita,Japan,
,5.0,10.0,5.0,1.0,3.0,,1.0,,,1.0,4.0,1.0,,,,,,PSP,Germany,
2.0,10.0,17.0,6.0,27.0,12.0,,3.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,,PSP,Japan,
,,,,,,,,,,,,,,,,,,Palm OS,Germany,
,,,,,,,,,,,,,,,,,,Palm OS,Japan,
,,,,,,,,,,,,,,,,,,Pippin,Germany,
,,,,,,,,,,,,,,,,,,Pippin,Japan,
2.0,9.0,35.0,27.0,4.0,9.0,2.0,7.0,2.0,3.0,8.0,9.0,5.0,1.0,,1.0,,1.0,PlayStation,Germany,
12.0,16.0,88.0,65.0,66.0,56.0,9.0,7.0,15.0,8.0,7.0,25.0,6.0,3.0,4.0,,2.0,1.0,PlayStation,Japan,
5.0,26.0,79.0,46.0,14.0,12.0,3.0,4.0,1.0,6.0,14.0,19.0,2.0,5.0,3.0,2.0,,,PlayStation 2,Germany,
6.0,18.0,53.0,32.0,56.0,35.0,5.0,6.0,7.0,3.0,8.0,7.0,,3.0,3.0,1.0,,,PlayStation 2,Japan,
9.0,13.0,42.0,20.0,6.0,17.0,5.0,14.0,1.0,2.0,8.0,11.0,2.0,,,,,,PlayStation 3,Germany,
7.0,2.0,18.0,11.0,41.0,19.0,2.0,9.0,2.0,1.0,5.0,5.0,2.0,1.0,,,,,PlayStation 3,Japan,
4.0,2.0,13.0,6.0,4.0,5.0,2.0,3.0,,5.0,1.0,6.0,,1.0,,,,,PlayStation 4,Germany,
6.0,1.0,5.0,8.0,16.0,7.0,1.0,2.0,1.0,3.0,6.0,1.0,,,1.0,1.0,1.0,,PlayStation 4,Japan,
,,,,,,,,,,,,,,,,,,Playdia,Germany,
,,,,,,,,,,,,,,,,,,Playdia,Japan,
,,,,,,,,,,,,,,,,,,Pokémon Mini,Germany,
,,,,,,,,,,,,,,,,,,Pokémon Mini,Japan,
,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,SEGA 32X,Germany,
,,,,1.0,1.0,,,,1.0,,,,,,,,,SEGA 32X,Japan,
,,1.0,,2.0,2.0,,1.0,,3.0,,,,,,,,,SEGA CD,Germany,
,1.0,3.0,2.0,3.0,4.0,,2.0,,5.0,,,,,,,,,SEGA CD,Japan,
,3.0,14.0,8.0,,9.0,3.0,4.0,,6.0,6.0,2.0,,,2.0,,,,SEGA Master System,Germany,
,1.0,4.0,2.0,,4.0,,1.0,,4.0,3.0,,,,1.0,,,,SEGA Master System,Japan,
,,,,,,,,,,,,,,,,,,SEGA Pico,Germany,
,,,,,,,,,,,,,,,,,,SEGA Pico,Japan,
,1.0,4.0,5.0,,2.0,1.0,1.0,,,,1.0,1.0,,,,,,SEGA Saturn,Germany,
4.0,6.0,14.0,10.0,17.0,20.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,,,,,,SEGA Saturn,Japan,
,,,,1.0,,,,,,,,,,,,,,SG-1000,Germany,
1.0,2.0,4.0,4.0,1.0,,2.0,1.0,,1.0,3.0,1.0,,,,,,,SG-1000,Japan,
1.0,1.0,5.0,5.0,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,SNES,Germany,
3.0,3.0,24.0,25.0,21.0,18.0,6.0,5.0,,9.0,6.0,2.0,2.0,1.0,,,,,SNES,Japan,
,,,,,,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany,
,,,,1.0,1.0,,,,1.0,,,,,,,,,Sharp MZ-80B/2000/2500,Japan,
,,,,,,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany,
1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Japan,
,,,,,,,,,,,,,,,,,,Sharp X1,Germany,
2.0,,2.0,2.0,10.0,3.0,1.0,3.0,1.0,6.0,1.0,1.0,,,,,,,Sharp X1,Japan,
,,,,,,,,,,,,,,,,,,Sharp X68000,Germany,
3.0,1.0,3.0,1.0,8.0,11.0,3.0,5.0,2.0,10.0,2.0,,,1.0,,,,,Sharp X68000,Japan,
,,,,,,,,,,,,,,,,,,Sharp Zaurus,Germany,
,,,,,,,,,,,,,,,,,,Sharp Zaurus,Japan,
,,,,,,,,,,,,,,,,,,Sinclair QL,Germany,
,,,,,,,,,,,,,,,,,,Sinclair QL,Japan,
,,,,,,,,,,,,,,,,,,Sord M5,Germany,
2.0,,,,,,,1.0,1.0,,,,,,,,,,Sord M5,Japan,
,,,,,,,,,,,,,,,,,,Spectravideo,Germany,
,,,,,,,,,,,,,,,,,,Spectravideo,Japan,
,,,,,,,,,,,,,,,,,,SuperGrafx,Germany,
,,,,,1.0,,,,,,,,,,,,,SuperGrafx,Japan,
,,,,,,,,,,,,,,,,,,Symbian,Germany,
,,,,,,,,,,,,,,,,,,Symbian,Japan,
,,1.0,,,,,,,,,,,,,,,,Tele-Spiel ES-2201,Germany,
,,,,,,,,,,,,,,,,,,Tele-Spiel ES-2201,Japan,
,,,,,,,,,,,,,,,,,,Tomy Tutor,Germany,
,,,,,1.0,,,1.0,,,,,,,,,,Tomy Tutor,Japan,
,,,,,,,,,,,,,,,,,,TurboGrafx CD,Germany,
1.0,,3.0,3.0,16.0,,,,1.0,1.0,,,,,,,,,TurboGrafx CD,Japan,
,,,,,,,,,,,,,,,,,,TurboGrafx-16,Germany,
,1.0,10.0,9.0,5.0,5.0,,3.0,,1.0,3.0,,,,,,,,TurboGrafx-16,Japan,
,,,,,,,,,,,,,,,,,,V.Smile,Germany,
,,,,,,,,,,,,,,,,,,V.Smile,Japan,
,,1.0,1.0,,,,,,,,,,,,,,,VIC-20,Germany,
,,1.0,,,,,,,,,,,,,,,,VIC-20,Japan,
1.0,,1.0,,,,,1.0,,2.0,,,,,,,,,Vectrex,Germany,
,,,,,,,,,,,,,,,,,,Vectrex,Japan,
,,,,,,,,,,,,,,,,,,Virtual Boy,Germany,
,,,,1.0,,,,,,,,,,,,,,Virtual Boy,Japan,
,,,,,,,,,,,,,,,,,,Wang 2200,Germany,
,,,,,,,,,,,,,,,,,,Wang 2200,Japan,
1.0,2.0,16.0,7.0,4.0,3.0,5.0,,,4.0,1.0,1.0,1.0,1.0,3.0,,,,Wii,Germany,
6.0,,9.0,7.0,17.0,13.0,6.0,3.0,1.0,7.0,6.0,1.0,3.0,,1.0,,,,Wii,Japan,
,,2.0,1.0,2.0,3.0,1.0,,1.0,2.0,,,,,,,,,Wii U,Germany,
5.0,,4.0,7.0,5.0,5.0,,3.0,,4.0,1.0,,4.0,,,,,,Wii U,Japan,
101.0,69.0,311.0,169.0,48.0,237.0,90.0,94.0,97.0,86.0,48.0,88.0,5.0,42.0,18.0,35.0,13.0,14.0,Windows,Germany,2.0
8.0,1.0,16.0,11.0,28.0,23.0,5.0,10.0,10.0,2.0,5.0,9.0,,,1.0,,1.0,,Windows,Japan,
,,5.0,4.0,1.0,5.0,2.0,,,2.0,,,,,,,,,Windows 3.x,Germany,
,,,,,,,,1.0,,,,,,,,,,Windows 3.x,Japan,
,,,,,,,,,,,,,,,,,,Windows Mobile,Germany,
,,,,,,,,,,,,,,,,,,Windows Mobile,Japan,
1.0,,,,2.0,,,,,,,,,,,,,,Windows Phone,Germany,
,,,,,,,,,,,,,,,,,,Windows Phone,Japan,
,,,,,,,,,,,,,,,,,,WonderSwan,Germany,
,,1.0,1.0,2.0,,,,2.0,,,,,,,,,,WonderSwan,Japan,
,,,,,,,,,,,,,,,,,,WonderSwan Color,Germany,
,,,,3.0,1.0,,,,,,,,,,,,,WonderSwan Color,Japan,
,,,,,,,,,,,,,,,,,,XaviXPORT,Germany,
,,,,,,,,,,,,,,,,,,XaviXPORT,Japan,
9.0,12.0,29.0,14.0,5.0,13.0,1.0,2.0,,1.0,4.0,7.0,,,1.0,,,,Xbox,Germany,
6.0,3.0,15.0,11.0,10.0,11.0,,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,Xbox,Japan,
15.0,13.0,43.0,16.0,4.0,27.0,8.0,8.0,,6.0,11.0,11.0,,,1.0,,,,Xbox 360,Germany,
5.0,8.0,14.0,3.0,11.0,15.0,2.0,5.0,1.0,4.0,5.0,2.0,,,2.0,,,,Xbox 360,Japan,
,1.0,2.0,1.0,,,2.0,1.0,,,,1.0,,,,,,,Xbox One,Germany,
,,,1.0,,1.0,,,,,1.0,,,,,,,,Xbox One,Japan,
1.0,2.0,8.0,6.0,1.0,11.0,2.0,8.0,,4.0,1.0,1.0,,,3.0,,,,ZX Spectrum,Germany,
,,,,,,,,,,,,,,,,,,ZX Spectrum,Japan,
,,,,,,,,,,,,,,,,,,iPad,Germany,
,2.0,2.0,,1.0,,,,,,,,,,,,,,iPad,Japan,
,,,,,,,,,,,,,,,,,,iPhone,Germany,
,2.0,2.0,,2.0,,,,,,,,,,,,,,iPhone,Japan,
